AppointmentID,PetID,VetID,ServiceType,ApptDate,Status,LocationID
A10000,P00222,V1032,Heart Screening,3/9/2025,Cancelled,L001
A10001,P08628,V1017,Checkup,11/28/2025,Cancelled,L002
A10002,P08482,V1006,Skin Treatment,1/5/2025,Completed,L002
A10003,P09959,V1004,Checkup,7/27/2025,Scheduled,L001
A10004,P03721,V1018,Neurological Exam,6/25/2025,Scheduled,L001
A10005,P03770,V1006,Skin Treatment,1/26/2024,Completed,L001
A10006,P03345,V1008,Emergency,7/30/2025,Scheduled,L002
A10007,P07712,V1027,Checkup,8/14/2024,Completed,L001
A10008,P02907,V1004,Dental Cleaning,9/28/2025,Scheduled,L002
A10009,P02899,V1029,Emergency,8/16/2025,Cancelled,L001
A10010,P03022,V1037,Checkup,7/17/2026,Cancelled,L002
A10011,P06451,V1049,Emergency,12/23/2026,Scheduled,L001
A10012,P07955,V1026,Emergency,2/2/2026,Scheduled,L002
A10013,P04069,V1035,Tooth Extraction,1/24/2024,Completed,L001
A10014,P07653,V1023,Checkup,5/18/2026,Cancelled,L002
A10015,P04963,V1036,Heart Screening,10/23/2026,Cancelled,L001
A10016,P06720,V1012,Checkup,8/18/2026,Cancelled,L001
A10017,P08799,V1018,Emergency,11/18/2025,Cancelled,L002
A10018,P02548,V1019,Emergency,10/12/2024,Completed,L002
A10019,P06370,V1029,Neurological Exam,11/3/2024,Completed,L001
A10020,P09772,V1014,Checkup,3/30/2026,Cancelled,L002
A10021,P04412,V1046,Emergency,3/29/2025,Cancelled,L002
A10022,P00580,V1039,Checkup,9/10/2026,Cancelled,L002
A10023,P05820,V1034,Checkup,12/3/2026,Scheduled,L002
A10024,P02167,V1028,Heart Screening,5/22/2026,Cancelled,L001
A10025,P04520,V1039,Checkup,12/26/2024,Completed,L002
A10026,P07303,V1027,Checkup,3/19/2026,Scheduled,L001
A10027,P01608,V1029,Emergency,12/7/2025,Cancelled,L002
A10028,P00906,V1037,Skin Treatment,1/24/2025,Completed,L001
A10029,P00880,V1001,Skin Treatment,3/23/2024,Completed,L002
A10030,P08964,V1029,Neurological Exam,3/14/2026,Scheduled,L002
A10031,P00788,V1040,Checkup,5/16/2024,Completed,L002
A10032,P03327,V1002,Checkup,1/25/2024,Completed,L001
A10033,P01513,V1038,Dental Cleaning,4/18/2026,Cancelled,L002
A10034,P09961,V1031,Skin Treatment,9/5/2024,Completed,L001
A10035,P01539,V1024,Emergency,12/7/2024,Completed,L002
A10036,P02371,V1008,Neurological Exam,4/23/2024,Completed,L001
A10037,P01748,V1043,Tooth Extraction,6/29/2026,Cancelled,L002
A10038,P04817,V1041,Skin Treatment,11/19/2024,Completed,L001
A10039,P06825,V1022,Skin Treatment,7/29/2025,Scheduled,L001
A10040,P05382,V1016,Surgery,5/9/2026,Scheduled,L001
A10041,P01625,V1037,Checkup,12/7/2024,Completed,L001
A10042,P01381,V1025,Checkup,5/11/2024,Completed,L001
A10043,P03832,V1029,Emergency,12/10/2026,Scheduled,L001
A10044,P07007,V1019,Surgery,7/5/2026,Scheduled,L001
A10045,P05822,V1006,Skin Treatment,2/24/2025,Completed,L002
A10046,P02846,V1013,Emergency,12/2/2025,Cancelled,L002
A10047,P07952,V1034,Tooth Extraction,7/5/2024,Completed,L002
A10048,P05196,V1043,Tooth Extraction,3/23/2024,Completed,L002
A10049,P05609,V1010,Checkup,7/4/2026,Scheduled,L001
A10050,P00938,V1009,Surgery,2/8/2024,Completed,L001
A10051,P05379,V1031,Checkup,11/4/2024,Completed,L002
A10052,P06889,V1010,Neurological Exam,3/29/2024,Completed,L001
A10053,P06409,V1016,Surgery,5/23/2024,Completed,L002
A10054,P02694,V1039,Skin Treatment,11/3/2025,Scheduled,L001
A10055,P05909,V1001,Skin Treatment,2/22/2024,Completed,L001
A10056,P07666,V1006,Checkup,11/6/2025,Scheduled,L002
A10057,P06916,V1003,Emergency,11/26/2024,Completed,L001
A10058,P02760,V1045,Skin Treatment,2/1/2025,Completed,L001
A10059,P08217,V1000,Heart Screening,12/19/2024,Completed,L001
A10060,P06851,V1029,Emergency,10/31/2026,Scheduled,L001
A10061,P04438,V1049,Surgery,2/1/2026,Scheduled,L002
A10062,P09081,V1031,Checkup,10/14/2024,Completed,L002
A10063,P00966,V1014,Checkup,6/12/2026,Scheduled,L001
A10064,P09625,V1010,Neurological Exam,7/23/2024,Completed,L001
A10065,P02531,V1008,Emergency,7/11/2026,Scheduled,L001
A10066,P04279,V1023,Skin Treatment,1/8/2026,Cancelled,L002
A10067,P00625,V1039,Checkup,3/18/2025,Scheduled,L001
A10068,P03492,V1032,Emergency,7/1/2026,Cancelled,L001
A10069,P07910,V1001,Skin Treatment,11/16/2025,Cancelled,L002
A10070,P03466,V1026,Checkup,10/25/2024,Completed,L001
A10071,P06713,V1042,Checkup,2/15/2026,Cancelled,L001
A10072,P07560,V1003,Emergency,3/1/2025,Scheduled,L002
A10073,P05203,V1011,Neurological Exam,10/3/2025,Scheduled,L002
A10074,P02767,V1033,Tooth Extraction,5/2/2026,Scheduled,L001
A10075,P01206,V1009,Emergency,6/27/2024,Completed,L001
A10076,P00254,V1007,Checkup,12/7/2026,Scheduled,L002
A10077,P04058,V1048,Surgery,1/26/2025,Completed,L002
A10078,P01354,V1026,Checkup,1/27/2024,Completed,L001
A10079,P01765,V1037,Checkup,8/19/2026,Cancelled,L002
A10080,P07521,V1017,Checkup,7/13/2024,Completed,L002
A10081,P05761,V1009,Surgery,7/1/2025,Scheduled,L002
A10082,P01076,V1005,Checkup,3/25/2026,Cancelled,L001
A10083,P09495,V1029,Checkup,1/1/2026,Cancelled,L001
A10084,P08797,V1014,Skin Treatment,5/4/2024,Completed,L002
A10085,P05210,V1008,Emergency,9/27/2024,Completed,L001
A10086,P08959,V1019,Emergency,5/7/2026,Scheduled,L001
A10087,P09777,V1039,Checkup,1/12/2025,Completed,L002
A10088,P04441,V1038,Tooth Extraction,6/29/2026,Scheduled,L001
A10089,P00725,V1012,Emergency,6/10/2025,Scheduled,L001
A10090,P09031,V1041,Checkup,6/13/2026,Cancelled,L002
A10091,P01419,V1021,Skin Treatment,10/12/2024,Completed,L002
A10092,P02513,V1001,Checkup,9/21/2026,Cancelled,L002
A10093,P05693,V1004,Tooth Extraction,8/29/2024,Completed,L001
A10094,P07795,V1016,Emergency,11/30/2026,Scheduled,L002
A10095,P05197,V1021,Skin Treatment,4/23/2026,Scheduled,L001
A10096,P00139,V1042,Checkup,5/16/2026,Cancelled,L002
A10097,P05046,V1034,Dental Cleaning,3/3/2026,Cancelled,L001
A10098,P04316,V1021,Checkup,11/16/2024,Completed,L001
A10099,P06675,V1030,Emergency,3/21/2026,Cancelled,L002
A10100,P04972,V1030,Emergency,5/8/2025,Scheduled,L001
A10101,P08572,V1006,Checkup,8/18/2026,Scheduled,L001
A10102,P04559,V1029,Emergency,1/8/2025,Completed,L001
A10103,P05046,V1036,Checkup,10/6/2024,Completed,L001
A10104,P02454,V1032,Heart Screening,12/15/2025,Scheduled,L002
A10105,P06302,V1044,Emergency,2/7/2026,Cancelled,L001
A10106,P06329,V1002,Checkup,11/7/2026,Scheduled,L001
A10107,P06217,V1039,Checkup,5/30/2026,Cancelled,L001
A10108,P01951,V1019,Surgery,4/5/2026,Cancelled,L001
A10109,P03283,V1015,Surgery,1/17/2026,Scheduled,L002
A10110,P00175,V1004,Tooth Extraction,9/28/2026,Cancelled,L001
A10111,P05414,V1011,Neurological Exam,12/2/2026,Scheduled,L001
A10112,P06396,V1008,Emergency,4/27/2025,Cancelled,L002
A10113,P09350,V1035,Tooth Extraction,8/9/2024,Completed,L001
A10114,P03461,V1045,Checkup,12/17/2025,Scheduled,L001
A10115,P05811,V1020,Neurological Exam,4/26/2025,Cancelled,L001
A10116,P08149,V1005,Checkup,9/20/2025,Cancelled,L002
A10117,P07850,V1031,Skin Treatment,5/5/2025,Cancelled,L001
A10118,P07712,V1041,Checkup,4/3/2025,Cancelled,L001
A10119,P08892,V1019,Emergency,9/12/2024,Completed,L001
A10120,P08654,V1011,Emergency,9/7/2025,Cancelled,L002
A10121,P03083,V1021,Checkup,1/17/2024,Completed,L001
A10122,P06008,V1028,Heart Screening,6/13/2024,Completed,L001
A10123,P02540,V1044,Neurological Exam,1/11/2026,Scheduled,L001
A10124,P06647,V1007,Checkup,10/29/2024,Completed,L001
A10125,P00506,V1001,Checkup,3/17/2026,Cancelled,L001
A10126,P01644,V1036,Heart Screening,4/25/2026,Cancelled,L001
A10127,P05732,V1003,Emergency,10/9/2026,Cancelled,L001
A10128,P07616,V1033,Checkup,3/15/2025,Scheduled,L001
A10129,P04363,V1044,Emergency,2/25/2025,Completed,L002
A10130,P07094,V1000,Heart Screening,9/21/2026,Cancelled,L002
A10131,P03275,V1018,Checkup,4/5/2025,Scheduled,L001
A10132,P02584,V1001,Checkup,3/7/2026,Scheduled,L001
A10133,P06781,V1016,Emergency,1/4/2024,Completed,L002
A10134,P08158,V1008,Emergency,8/24/2025,Cancelled,L001
