BillID,AppointmentID,Total_amt,Payment_Date,Payment_Status
B10000,A10002,347,1/5/2025,Completed
B10001,A10005,496,,Pending
B10002,A10007,443,8/14/2024,Completed
B10003,A10013,308,,Pending
B10004,A10018,310,,Pending
B10005,A10019,78,,Pending
B10006,A10025,219,12/26/2024,Completed
B10007,A10028,412,1/24/2025,Completed
B10008,A10029,278,,Pending
B10009,A10031,236,,Pending
B10010,A10032,282,1/25/2024,Completed
B10011,A10034,125,9/5/2024,Completed
B10012,A10035,301,12/7/2024,Completed
B10013,A10036,485,,Pending
B10014,A10038,230,11/19/2024,Completed
B10015,A10041,198,,Pending
B10016,A10042,158,5/11/2024,Completed
B10017,A10045,134,2/24/2025,Completed
B10018,A10047,153,7/5/2024,Completed
B10019,A10048,190,3/23/2024,Completed
B10020,A10050,251,,Pending
B10021,A10051,124,,Pending
B10022,A10052,432,,Pending
B10023,A10053,147,,Pending
B10024,A10055,359,,Pending
B10025,A10057,468,11/26/2024,Completed
B10026,A10058,153,2/1/2025,Completed
B10027,A10059,227,,Pending
B10028,A10062,369,10/14/2024,Completed
B10029,A10064,398,,Pending
B10030,A10070,418,,Pending
B10031,A10075,463,6/27/2024,Completed
B10032,A10077,151,,Pending
B10033,A10078,84,1/27/2024,Completed
B10034,A10080,423,7/13/2024,Completed
B10035,A10084,141,,Pending
B10036,A10085,158,,Pending
B10037,A10087,304,1/12/2025,Completed
B10038,A10091,159,10/12/2024,Completed
B10039,A10093,381,8/29/2024,Completed
B10040,A10098,256,,Pending
B10041,A10102,175,,Pending
B10042,A10103,125,10/6/2024,Completed
B10043,A10113,375,,Pending
B10044,A10119,148,9/12/2024,Completed
B10045,A10121,75,1/17/2024,Completed
B10046,A10122,411,6/13/2024,Completed
B10047,A10124,387,,Pending
B10048,A10129,444,,Pending
B10049,A10133,383,1/4/2024,Completed
B10050,A10136,190,,Pending
B10051,A10138,156,,Pending
B10052,A10145,264,,Pending
B10053,A10146,369,,Pending
B10054,A10148,328,,Pending
B10055,A10149,322,3/18/2024,Completed
B10056,A10151,376,5/19/2024,Completed
B10057,A10156,51,2/5/2025,Completed
B10058,A10165,323,1/9/2025,Completed
B10059,A10168,106,,Pending
B10060,A10169,488,3/9/2024,Completed
B10061,A10170,97,6/13/2024,Completed
B10062,A10171,416,,Pending
B10063,A10172,185,1/22/2024,Completed
B10064,A10173,85,1/28/2025,Completed
B10065,A10176,385,11/11/2024,Completed
B10066,A10177,199,7/17/2024,Completed
B10067,A10178,360,11/16/2024,Completed
B10068,A10180,309,12/27/2024,Completed
B10069,A10181,387,12/31/2024,Completed
B10070,A10182,367,,Pending
B10071,A10185,260,,Pending
B10072,A10186,370,9/4/2024,Completed
B10073,A10188,361,5/24/2024,Completed
B10074,A10189,392,6/2/2024,Completed
B10075,A10190,329,2/7/2025,Completed
B10076,A10191,110,1/18/2025,Completed
B10077,A10192,327,,Pending
B10078,A10195,381,,Pending
B10079,A10197,197,,Pending
B10080,A10202,372,,Pending
B10081,A10204,203,,Pending
B10082,A10206,116,6/24/2024,Completed
B10083,A10207,289,2/26/2025,Completed
B10084,A10210,339,,Pending
B10085,A10212,324,,Pending
B10086,A10213,436,,Pending
B10087,A10214,296,,Pending
B10088,A10215,409,,Pending
B10089,A10217,326,,Pending
B10090,A10218,173,,Pending
B10091,A10221,466,,Pending
B10092,A10222,249,2/20/2025,Completed
B10093,A10223,116,2/22/2024,Completed
B10094,A10227,246,,Pending
B10095,A10228,294,,Pending
B10096,A10229,90,7/4/2024,Completed
B10097,A10230,271,,Pending
B10098,A10233,166,1/30/2025,Completed
B10099,A10240,79,11/12/2024,Completed
B10100,A10241,416,,Pending
B10101,A10245,160,,Pending
B10102,A10246,227,,Pending
B10103,A10254,185,1/6/2025,Completed
B10104,A10257,286,2/23/2024,Completed
B10105,A10261,423,3/17/2024,Completed
B10106,A10264,342,,Pending
B10107,A10271,381,1/11/2025,Completed
B10108,A10272,176,9/23/2024,Completed
B10109,A10277,124,12/12/2024,Completed
B10110,A10282,274,1/4/2025,Completed
B10111,A10296,244,6/20/2024,Completed
B10112,A10298,426,,Pending
B10113,A10299,392,5/23/2024,Completed
B10114,A10303,202,2/13/2025,Completed
B10115,A10305,164,11/30/2024,Completed
B10116,A10309,204,10/16/2024,Completed
B10117,A10310,75,11/3/2024,Completed
B10118,A10313,134,12/3/2024,Completed
B10119,A10314,104,,Pending
B10120,A10315,265,2/1/2024,Completed
B10121,A10317,57,,Pending
B10122,A10320,185,,Pending
B10123,A10321,308,,Pending
B10124,A10324,88,4/7/2024,Completed
B10125,A10327,361,5/22/2024,Completed
B10126,A10328,174,1/26/2025,Completed
B10127,A10330,223,,Pending
B10128,A10331,292,,Pending
B10129,A10333,242,8/5/2024,Completed
B10130,A10335,376,,Pending
B10131,A10339,399,,Pending
B10132,A10341,62,,Pending
B10133,A10343,67,,Pending
B10134,A10345,69,,Pending
B10135,A10346,116,,Pending
B10136,A10349,469,2/11/2025,Completed
B10137,A10350,268,,Pending
B10138,A10363,176,7/3/2024,Completed
B10139,A10365,290,,Pending
B10140,A10367,389,,Pending
B10141,A10374,498,,Pending
B10142,A10377,423,,Pending
B10143,A10378,482,,Pending
B10144,A10379,63,12/13/2024,Completed
B10145,A10380,408,,Pending
B10146,A10383,362,3/19/2024,Completed
B10147,A10385,278,,Pending
B10148,A10388,227,,Pending
B10149,A10391,347,1/16/2025,Completed
B10150,A10393,495,,Pending
B10151,A10394,373,2/18/2025,Completed
B10152,A10395,139,12/21/2024,Completed
B10153,A10396,216,,Pending
B10154,A10397,293,,Pending
B10155,A10399,196,,Pending
B10156,A10402,113,6/9/2024,Completed
B10157,A10404,359,,Pending
B10158,A10407,302,,Pending
B10159,A10408,413,,Pending
B10160,A10410,473,,Pending
B10161,A10411,354,,Pending
B10162,A10413,287,2/29/2024,Completed
B10163,A10421,121,6/6/2024,Completed
B10164,A10428,60,4/14/2024,Completed
B10165,A10429,276,2/16/2024,Completed
B10166,A10430,398,2/25/2025,Completed
B10167,A10432,141,5/4/2024,Completed
B10168,A10442,159,,Pending
B10169,A10445,454,11/28/2024,Completed
B10170,A10446,308,11/3/2024,Completed
B10171,A10448,438,8/29/2024,Completed
B10172,A10454,135,2/22/2024,Completed
B10173,A10455,50,,Pending
B10174,A10456,78,,Pending
B10175,A10458,292,7/20/2024,Completed
B10176,A10460,171,,Pending
B10177,A10461,151,1/22/2024,Completed
B10178,A10463,386,,Pending
B10179,A10468,143,,Pending
B10180,A10474,86,,Pending
B10181,A10475,58,,Pending
B10182,A10477,407,,Pending
B10183,A10481,272,,Pending
B10184,A10482,344,3/11/2024,Completed
B10185,A10484,292,,Pending
B10186,A10485,319,,Pending
B10187,A10487,321,,Pending
B10188,A10495,215,,Pending
B10189,A10502,291,10/8/2024,Completed
B10190,A10504,71,,Pending
B10191,A10505,456,,Pending
B10192,A10517,426,,Pending
B10193,A10522,416,,Pending
B10194,A10527,226,2/16/2025,Completed
B10195,A10530,474,8/6/2024,Completed
B10196,A10531,98,,Pending
B10197,A10535,307,11/24/2024,Completed
B10198,A10544,85,,Pending
B10199,A10549,121,,Pending
B10200,A10550,183,,Pending
B10201,A10551,306,,Pending
B10202,A10557,96,,Pending
B10203,A10559,493,3/28/2024,Completed
B10204,A10562,94,2/8/2024,Completed
B10205,A10566,360,,Pending
B10206,A10568,394,,Pending
B10207,A10570,211,6/6/2024,Completed
B10208,A10572,318,9/30/2024,Completed
B10209,A10573,129,6/21/2024,Completed
B10210,A10578,176,6/26/2024,Completed
B10211,A10583,55,,Pending
B10212,A10584,275,,Pending
B10213,A10586,327,2/7/2024,Completed
B10214,A10587,111,,Pending
B10215,A10596,307,,Pending
B10216,A10597,280,,Pending
B10217,A10606,450,8/19/2024,Completed
B10218,A10608,400,3/30/2024,Completed
B10219,A10609,188,,Pending
B10220,A10610,63,4/10/2024,Completed
B10221,A10611,85,,Pending
B10222,A10614,69,,Pending
B10223,A10617,134,,Pending
B10224,A10621,155,,Pending
B10225,A10624,334,1/29/2024,Completed
B10226,A10625,381,4/5/2024,Completed
B10227,A10626,261,12/9/2024,Completed
B10228,A10629,399,4/11/2024,Completed
B10229,A10631,317,,Pending
B10230,A10634,64,6/11/2024,Completed
B10231,A10637,398,,Pending
B10232,A10640,98,,Pending
B10233,A10642,347,5/6/2024,Completed
B10234,A10644,355,4/14/2024,Completed
B10235,A10646,52,,Pending
B10236,A10648,498,7/3/2024,Completed
B10237,A10650,264,,Pending
B10238,A10652,467,,Pending
B10239,A10657,165,,Pending
B10240,A10660,268,5/9/2024,Completed
B10241,A10662,320,5/11/2024,Completed
B10242,A10663,262,,Pending
B10243,A10665,103,12/31/2024,Completed
B10244,A10668,463,12/24/2024,Completed
B10245,A10671,51,,Pending
B10246,A10672,279,12/20/2024,Completed
B10247,A10674,423,7/31/2024,Completed
B10248,A10678,484,11/14/2024,Completed
B10249,A10681,365,,Pending
B10250,A10683,172,12/23/2024,Completed
B10251,A10684,347,3/27/2024,Completed
B10252,A10688,76,7/3/2024,Completed
B10253,A10689,248,2/14/2025,Completed
B10254,A10690,141,5/12/2024,Completed
B10255,A10692,164,12/14/2024,Completed
B10256,A10693,493,5/31/2024,Completed
B10257,A10694,437,,Pending
B10258,A10698,175,10/12/2024,Completed
B10259,A10704,107,,Pending
B10260,A10706,134,,Pending
B10261,A10707,445,,Pending
B10262,A10711,386,,Pending
B10263,A10712,465,1/28/2024,Completed
B10264,A10713,367,,Pending
B10265,A10715,345,4/18/2024,Completed
B10266,A10716,274,2/27/2024,Completed
B10267,A10717,79,,Pending
B10268,A10718,198,7/14/2024,Completed
B10269,A10720,418,8/19/2024,Completed
B10270,A10724,95,3/13/2024,Completed
B10271,A10726,276,,Pending
B10272,A10727,184,2/17/2025,Completed
B10273,A10731,171,,Pending
B10274,A10732,198,,Pending
B10275,A10734,113,,Pending
B10276,A10736,69,5/20/2024,Completed
B10277,A10741,83,,Pending
B10278,A10743,339,7/6/2024,Completed
B10279,A10744,278,,Pending
B10280,A10751,390,,Pending
B10281,A10752,279,,Pending
B10282,A10754,458,2/5/2025,Completed
B10283,A10755,346,5/15/2024,Completed
B10284,A10757,387,1/31/2024,Completed
B10285,A10760,411,,Pending
B10286,A10765,160,11/8/2024,Completed
B10287,A10774,160,,Pending
B10288,A10776,307,3/13/2024,Completed
B10289,A10777,360,5/5/2024,Completed
B10290,A10782,327,,Pending
B10291,A10783,114,,Pending
B10292,A10784,374,1/19/2025,Completed
B10293,A10786,293,,Pending
B10294,A10787,396,,Pending
B10295,A10788,94,1/7/2025,Completed
B10296,A10790,394,,Pending
B10297,A10792,88,,Pending
B10298,A10796,419,,Pending
B10299,A10797,465,4/16/2024,Completed
B10300,A10798,228,11/12/2024,Completed
B10301,A10800,237,,Pending
B10302,A10801,121,,Pending
B10303,A10806,195,8/31/2024,Completed
B10304,A10807,400,,Pending
B10305,A10808,172,5/24/2024,Completed
B10306,A10809,82,,Pending
B10307,A10811,219,4/10/2024,Completed
B10308,A10814,205,5/23/2024,Completed
B10309,A10820,53,,Pending
B10310,A10821,362,,Pending
B10311,A10822,334,9/23/2024,Completed
B10312,A10824,199,,Pending
B10313,A10826,157,2/5/2024,Completed
B10314,A10833,210,8/25/2024,Completed
B10315,A10835,268,,Pending
B10316,A10838,187,,Pending
B10317,A10839,359,7/27/2024,Completed
B10318,A10840,399,,Pending
B10319,A10841,332,1/16/2024,Completed
B10320,A10844,434,1/7/2025,Completed
B10321,A10846,204,,Pending
B10322,A10851,385,5/8/2024,Completed
B10323,A10856,229,4/19/2024,Completed
B10324,A10857,339,1/8/2025,Completed
B10325,A10859,380,,Pending
B10326,A10861,179,1/21/2025,Completed
B10327,A10863,111,,Pending
B10328,A10865,283,,Pending
B10329,A10872,252,,Pending
B10330,A10873,110,,Pending
B10331,A10875,246,,Pending
B10332,A10876,126,7/15/2024,Completed
B10333,A10877,203,,Pending
B10334,A10878,484,,Pending
B10335,A10880,124,2/20/2025,Completed
B10336,A10881,446,,Pending
B10337,A10882,88,,Pending
B10338,A10888,390,,Pending
B10339,A10891,120,12/7/2024,Completed
B10340,A10892,325,,Pending
B10341,A10896,410,11/29/2024,Completed
B10342,A10897,109,5/3/2024,Completed
B10343,A10898,85,,Pending
B10344,A10899,61,,Pending
B10345,A10900,308,,Pending
B10346,A10904,456,6/6/2024,Completed
B10347,A10905,251,8/24/2024,Completed
B10348,A10911,78,12/24/2024,Completed
B10349,A10917,477,,Pending
B10350,A10918,68,,Pending
B10351,A10922,79,,Pending
B10352,A10927,496,,Pending
B10353,A10928,139,,Pending
B10354,A10933,98,1/9/2024,Completed
B10355,A10935,87,2/23/2025,Completed
B10356,A10939,270,,Pending
B10357,A10940,63,10/21/2024,Completed
B10358,A10943,67,,Pending
B10359,A10947,313,,Pending
B10360,A10955,358,,Pending
B10361,A10956,442,8/30/2024,Completed
B10362,A10961,207,2/3/2025,Completed
B10363,A10968,269,9/9/2024,Completed
B10364,A10971,152,,Pending
B10365,A10974,293,,Pending
B10366,A10977,488,,Pending
B10367,A10979,129,,Pending
B10368,A10980,441,1/11/2024,Completed
B10369,A10982,361,2/6/2024,Completed
B10370,A10983,171,,Pending
B10371,A10985,61,,Pending
B10372,A10986,146,1/1/2024,Completed
B10373,A10988,295,,Pending
B10374,A10989,156,1/10/2025,Completed
B10375,A10994,198,6/29/2024,Completed
B10376,A10997,249,11/10/2024,Completed
B10377,A10998,85,,Pending
B10378,A10999,470,,Pending
B10379,A11000,451,6/21/2024,Completed
B10380,A11003,163,11/9/2024,Completed
B10381,A11004,172,,Pending
B10382,A11005,304,11/9/2024,Completed
B10383,A11010,140,,Pending
B10384,A11013,471,9/28/2024,Completed
B10385,A11014,494,,Pending
B10386,A11015,57,,Pending
B10387,A11016,397,,Pending
B10388,A11019,314,,Pending
B10389,A11020,335,,Pending
B10390,A11021,467,,Pending
B10391,A11024,439,,Pending
B10392,A11025,374,,Pending
B10393,A11026,357,,Pending
B10394,A11027,263,,Pending
B10395,A11028,270,,Pending
B10396,A11030,441,,Pending
B10397,A11031,418,,Pending
B10398,A11032,171,,Pending
B10399,A11034,70,,Pending
B10400,A11035,380,4/30/2024,Completed
B10401,A11039,136,2/10/2024,Completed
B10402,A11041,329,12/24/2024,Completed
B10403,A11049,490,,Pending
B10404,A11050,99,,Pending
B10405,A11056,237,1/26/2025,Completed
B10406,A11057,476,,Pending
B10407,A11059,307,12/23/2024,Completed
B10408,A11060,433,3/10/2024,Completed
B10409,A11063,395,,Pending
B10410,A11065,487,,Pending
B10411,A11066,485,12/10/2024,Completed
B10412,A11068,129,,Pending
B10413,A11069,392,1/8/2025,Completed
B10414,A11070,154,,Pending
B10415,A11071,491,,Pending
B10416,A11074,426,,Pending
B10417,A11075,248,,Pending
B10418,A11076,486,,Pending
B10419,A11077,434,3/16/2024,Completed
B10420,A11081,198,,Pending
B10421,A11083,440,9/9/2024,Completed
B10422,A11086,302,1/11/2025,Completed
B10423,A11089,132,,Pending
B10424,A11091,88,,Pending
B10425,A11092,61,,Pending
B10426,A11094,366,,Pending
B10427,A11096,476,,Pending
B10428,A11101,123,11/13/2024,Completed
B10429,A11104,303,1/6/2025,Completed
B10430,A11105,244,8/22/2024,Completed
B10431,A11110,471,,Pending
B10432,A11113,330,7/29/2024,Completed
B10433,A11116,213,,Pending
B10434,A11118,180,,Pending
B10435,A11120,158,,Pending
B10436,A11122,244,1/13/2025,Completed
B10437,A11124,215,1/15/2024,Completed
B10438,A11125,371,,Pending
B10439,A11126,236,,Pending
B10440,A11128,183,11/8/2024,Completed
B10441,A11130,235,4/12/2024,Completed
B10442,A11136,126,1/10/2024,Completed
B10443,A11139,259,5/30/2024,Completed
B10444,A11143,435,11/28/2024,Completed
B10445,A11144,288,,Pending
B10446,A11145,118,,Pending
B10447,A11150,93,2/19/2024,Completed
B10448,A11152,213,3/4/2024,Completed
B10449,A11154,436,,Pending
B10450,A11155,259,,Pending
B10451,A11156,267,,Pending
B10452,A11158,71,,Pending
