PrescriptionID,PetID,IssueDate,VetID,Diagnosis
PR00001,P00430,4/25/2024,V1041,Dental Disease
PR00002,P00991,10/17/2024,V1047,Rabies
PR00003,P08225,4/16/2023,V1030,Feline Upper Respiratory Infection
PR00004,P06784,10/17/2024,V1041,Heat Stroke
PR00005,P00352,3/23/2024,V1011,Cushing’s Disease
PR00006,P07233,12/24/2024,V1002,Distemper
PR00007,P08135,8/1/2024,V1030,Hyperthyroidism
PR00008,P02541,4/24/2023,V1044,Kennel Cough
PR00009,P05158,10/1/2023,V1031,Arthritis
PR00010,P02117,9/2/2024,V1038,Kennel Cough
PR00011,P07404,4/7/2023,V1028,Parvovirus
PR00012,P02440,3/8/2023,V1036,Hip Dysplasia
PR00013,P04993,7/7/2024,V1024,Feline Leukemia Virus
PR00014,P04703,7/12/2024,V1001,Diabetes Mellitus
PR00015,P00937,10/23/2024,V1036,Pyometra
PR00016,P03399,7/10/2024,V1018,Feline Upper Respiratory Infection
PR00017,P04849,12/5/2024,V1045,Leptospirosis
PR00018,P03346,6/2/2023,V1015,Ear Infections
PR00019,P07288,8/3/2023,V1044,Distemper
PR00020,P07652,9/1/2023,V1032,Leptospirosis
PR00021,P05094,8/21/2023,V1044,Kennel Cough
PR00022,P09456,7/31/2023,V1029,Kidney Disease
PR00023,P09239,12/10/2023,V1040,Dental Disease
PR00024,P07676,5/23/2023,V1028,Foreign Body Ingestion
PR00025,P00017,12/31/2023,V1032,Allergies
PR00026,P01778,4/22/2023,V1019,Dental Disease
PR00027,P00341,5/29/2024,V1016,Arthritis
PR00028,P05097,5/17/2023,V1035,Pyometra
PR00029,P07854,5/2/2023,V1036,Heartworm Disease
PR00030,P08670,11/28/2023,V1017,Heat Stroke
PR00031,P02052,9/13/2023,V1017,Pancreatitis
PR00032,P03242,1/13/2025,V1022,Cushing’s Disease
PR00033,P04013,9/16/2023,V1004,Gastroenteritis
PR00034,P02009,7/26/2024,V1020,Obesity
PR00035,P04868,5/21/2023,V1035,Kennel Cough
PR00036,P04465,3/21/2023,V1038,Pyometra
PR00037,P07826,11/4/2024,V1011,Distemper
PR00038,P00647,9/3/2024,V1006,Pancreatitis
PR00039,P07938,9/1/2024,V1017,Hypothyroidism
PR00040,P05562,9/8/2024,V1028,Arthritis
PR00041,P00452,7/11/2023,V1003,Lyme Disease
PR00042,P00271,4/26/2024,V1032,Pancreatitis
PR00043,P05859,2/16/2025,V1025,Feline Upper Respiratory Infection
PR00044,P01724,3/15/2024,V1048,Foreign Body Ingestion
PR00045,P04965,9/5/2023,V1008,Kidney Disease
PR00046,P09600,12/16/2023,V1013,Rabies
PR00047,P05000,10/19/2023,V1001,Distemper
PR00048,P07955,6/3/2023,V1033,Dental Disease
PR00049,P08228,12/12/2023,V1002,Obesity
PR00050,P03575,10/4/2023,V1004,Rabies
PR00051,P09498,11/13/2024,V1043,Feline Immunodeficiency Virus
PR00052,P07948,8/8/2023,V1011,Parvovirus
PR00053,P09413,8/6/2024,V1035,Hyperthyroidism
PR00054,P01997,6/30/2024,V1040,Foreign Body Ingestion
PR00055,P07710,6/23/2023,V1043,Hypothyroidism
PR00056,P07982,3/5/2024,V1002,Dental Disease
PR00057,P07951,11/15/2023,V1034,Hypothyroidism
PR00058,P00916,12/16/2024,V1005,Distemper
PR00059,P09155,3/26/2024,V1018,Hypothyroidism
PR00060,P06208,3/27/2024,V1000,Cushing’s Disease
PR00061,P07748,12/30/2023,V1044,Rabies
PR00062,P01189,11/20/2023,V1040,Hyperthyroidism
PR00063,P09375,12/23/2024,V1027,Obesity
PR00064,P05476,5/25/2024,V1010,Pyometra
PR00065,P01046,12/23/2024,V1040,Cancer
PR00066,P06695,6/29/2023,V1043,Feline Leukemia Virus
PR00067,P09301,7/15/2023,V1009,Diabetes Mellitus
PR00068,P01219,3/13/2024,V1046,Heat Stroke
PR00069,P02644,2/14/2024,V1040,Hyperthyroidism
PR00070,P01096,12/5/2024,V1028,Addison’s Disease
PR00071,P01235,12/30/2024,V1019,Pancreatitis
PR00072,P01901,11/15/2023,V1034,Cushing’s Disease
PR00073,P03377,6/30/2023,V1048,Diabetes Mellitus
PR00074,P06705,3/12/2024,V1002,Parvovirus
PR00075,P00924,4/24/2024,V1022,Distemper
PR00076,P04396,6/7/2023,V1002,Hyperthyroidism
PR00077,P05518,12/1/2023,V1006,Rabies
PR00078,P07776,4/30/2023,V1008,Pancreatitis
PR00079,P09632,12/17/2024,V1015,Heat Stroke
PR00080,P04147,6/13/2024,V1025,Dental Disease
PR00081,P00861,8/16/2024,V1015,Arthritis
PR00082,P00636,12/31/2023,V1042,Gastroenteritis
PR00083,P07484,2/11/2025,V1037,Heartworm Disease
PR00084,P06267,7/27/2024,V1014,Obesity
PR00085,P02033,2/6/2024,V1041,Hip Dysplasia
PR00086,P00633,1/31/2024,V1037,Hip Dysplasia
PR00087,P06413,10/31/2023,V1042,Kennel Cough
PR00088,P01988,3/25/2024,V1017,Foreign Body Ingestion
PR00089,P07165,8/25/2024,V1033,Feline Upper Respiratory Infection
PR00090,P07234,5/13/2023,V1011,Foreign Body Ingestion
PR00091,P00734,1/17/2025,V1038,Pancreatitis
PR00092,P05376,5/3/2024,V1018,Gastroenteritis
PR00093,P07822,8/10/2024,V1031,Rabies
PR00094,P08892,8/19/2023,V1002,Feline Upper Respiratory Infection
PR00095,P04450,10/14/2023,V1013,Distemper
PR00096,P04014,7/12/2024,V1029,Allergies
PR00097,P06216,11/6/2024,V1012,Cushing’s Disease
PR00098,P05350,8/31/2024,V1032,Addison’s Disease
PR00099,P01442,5/21/2023,V1024,Hip Dysplasia
PR00100,P03517,3/15/2024,V1027,Feline Immunodeficiency Virus
PR00101,P03094,9/24/2024,V1033,Addison’s Disease
PR00102,P07646,3/28/2024,V1019,Hypothyroidism
PR00103,P07394,9/16/2024,V1023,Rabies
PR00104,P05852,9/26/2023,V1009,Hypothyroidism
PR00105,P02502,8/7/2023,V1014,Hypothyroidism
PR00106,P05531,11/8/2023,V1006,Hyperthyroidism
PR00107,P02710,10/31/2023,V1041,Hip Dysplasia
PR00108,P03446,8/9/2024,V1006,Pyometra
PR00109,P03499,12/22/2024,V1049,Kennel Cough
PR00110,P02641,8/14/2024,V1022,Lyme Disease
PR00111,P07396,12/9/2023,V1024,Feline Upper Respiratory Infection
PR00112,P09020,2/14/2025,V1011,Obesity
PR00113,P03354,3/2/2024,V1020,Bloat
PR00114,P02020,8/15/2024,V1044,Leptospirosis
PR00115,P08164,3/27/2024,V1004,Obesity
PR00116,P04101,9/23/2023,V1004,Kidney Disease
PR00117,P02294,3/22/2023,V1000,Arthritis
PR00118,P08836,11/4/2024,V1003,Allergies
PR00119,P03359,5/17/2024,V1027,Dental Disease
PR00120,P02341,11/27/2023,V1028,Kidney Disease
PR00121,P09882,4/10/2023,V1006,Bloat
PR00122,P00519,8/6/2023,V1031,Distemper
PR00123,P02105,4/30/2023,V1035,Lyme Disease
PR00124,P08449,5/20/2024,V1011,Kidney Disease
PR00125,P03141,11/15/2024,V1034,Lyme Disease
PR00126,P03621,11/8/2024,V1009,Kidney Disease
PR00127,P06807,10/23/2023,V1035,Bloat
PR00128,P08836,1/9/2024,V1024,Cushing’s Disease
PR00129,P08651,6/24/2023,V1028,Heat Stroke
PR00130,P09259,12/1/2023,V1017,Dental Disease
PR00131,P05512,9/7/2023,V1001,Distemper
PR00132,P05145,6/16/2024,V1019,Obesity
PR00133,P08416,6/9/2023,V1015,Leptospirosis
PR00134,P09678,1/15/2025,V1041,Hypothyroidism
PR00135,P02858,6/10/2023,V1046,Hypothyroidism
PR00136,P05720,6/7/2023,V1013,Ringworm
