PetID,OwnerID,PetName,PetType,Breed,Age
P00001,O00001,Stella,Cat,Persian,5
P00002,O00002,Penny,Bird,Canary,2
P00003,O00003,Bailey,Cat,Maine Coon,9
P00004,O00004,Bentley,Turtle,Box Turtle,8
P00005,O00005,Riley,Cat,Maine Coon,14
P00006,O00006,Leo,Dog,Beagle,3
P00007,O00007,Gracie,Turtle,Box Turtle,9
P00008,O00008,Rosie,Cat,Persian,7
P00009,O00009,Bailey,Rabbit,Lop,3
P00010,O00010,Rosie,Rabbit,Lop,9
P00011,O00011,Coco,Cat,Siamese,1
P00012,O00012,Lilly,Rabbit,Lop,13
P00013,O00013,Charlie,Cat,Maine Coon,3
P00014,O00014,Maggie,Dog,Bulldog,15
P00015,O00015,Sophie,Turtle,Painted Turtle,12
P00016,O00016,Tucker,Cat,Siamese,10
P00017,O00017,Ruby,Rabbit,Mini Rex,6
P00018,O00018,Stella,Rabbit,Dutch,14
P00019,O00019,Nala,Rabbit,Lop,14
P00020,O00020,Stella,Turtle,Painted Turtle,10
P00021,O00021,Lola,Dog,Poodle,4
P00022,O00022,Zoey,Rabbit,Lop,11
P00023,O00023,Leo,Rabbit,Lop,6
P00024,O00024,Max,Bird,Parrot,9
P00025,O00025,Maggie,Bird,Parrot,7
P00026,O00026,Daisy,Cat,Maine Coon,14
P00027,O00027,Louie,Cat,Sphynx,5
P00028,O00028,Buddy,Dog,Beagle,14
P00029,O00029,Nala,Turtle,Painted Turtle,12
P00030,O00030,Zeus,Rabbit,Dutch,1
P00031,O00031,Rosie,Dog,Labrador,13
P00032,O00032,Chloe,Turtle,Painted Turtle,5
P00033,O00033,Max,Dog,Labrador,1
P00034,O00034,Sadie,Dog,Poodle,10
P00035,O00035,Zeus,Dog,Bulldog,12
P00036,O00036,Leo,Dog,Bulldog,9
P00037,O00037,Cooper,Cat,Persian,13
P00038,O00038,Charlie,Rabbit,Mini Rex,14
P00039,O00039,Bentley,Cat,Siamese,10
P00040,O00040,Milo,Cat,Maine Coon,6
P00041,O00041,Jake,Dog,Beagle,12
P00042,O00042,Milo,Dog,Bulldog,3
P00043,O00043,Maggie,Rabbit,Lop,4
P00044,O00044,Oscar,Dog,Bulldog,3
P00045,O00045,Bear,Rabbit,Lop,6
P00046,O00046,Rocky,Dog,Bulldog,5
P00047,O00047,Chloe,Turtle,Painted Turtle,14
P00048,O00048,Jake,Cat,Maine Coon,4
P00049,O00049,Cooper,Dog,Beagle,5
P00050,O00050,Sadie,Turtle,Painted Turtle,15
P00051,O00051,Zeus,Dog,Labrador,7
P00052,O00052,Ruby,Bird,Parrot,15
P00053,O00053,Tucker,Rabbit,Lop,8
P00054,O00054,Bella,Rabbit,Mini Rex,14
P00055,O00055,Cooper,Rabbit,Mini Rex,11
P00056,O00056,Bailey,Rabbit,Dutch,1
P00057,O00057,Duke,Dog,Poodle,5
P00058,O00058,Daisy,Cat,Persian,1
P00059,O00059,Ruby,Bird,Canary,1
P00060,O00060,Charlie,Rabbit,Dutch,11
P00061,O00061,Luna,Dog,Poodle,12
P00062,O00062,Winston,Cat,Siamese,1
P00063,O00063,Luna,Bird,Parrot,6
P00064,O00064,Ellie,Cat,Persian,8
P00065,O00065,Bear,Turtle,Box Turtle,7
P00066,O00066,Lucy,Turtle,Painted Turtle,7
P00067,O00067,Riley,Turtle,Painted Turtle,15
