PetID,OwnerID,PetName,PetType,Breed,Age
P00001,O04970,Krystal,Bird,Parrot,3
P00002,O06489,Lori,Dog,Poodle,11
P00003,O04297,Amber,Cat,Sphynx,10
P00004,O05140,Robert,Bird,Parrot,3
P00005,O05009,Kenneth,Turtle,Painted Turtle,5
P00006,O06897,Mercedes,Rabbit,Holland Lop,9
P00007,O06900,Dennis,Rabbit,Holland Lop,15
P00008,O01630,Chad,Hamster,Syrian Hamster,7
P00009,O02261,Emily,Turtle,Painted Turtle,5
P00010,O05019,Mark,Dog,Beagle,1
P00011,O06864,Andrew,Rabbit,Lionhead,10
P00012,O06276,James,Bird,Parrot,5
P00013,O01043,Christian,Hamster,Dwarf Hamster,14
P00014,O03402,Sarah,Rabbit,Mini Rex,5
P00015,O01195,Gary,Rabbit,Mini Rex,13
P00016,O03137,David,Rabbit,Holland Lop,5
P00017,O02957,Sharon,Dog,Beagle,13
P00018,O03307,Daniel,Hamster,Dwarf Hamster,4
P00019,O06901,Amanda,Hamster,Syrian Hamster,1
P00020,O06491,Sheila,Guinea Pig,Abyssinian,4
P00021,O00972,Donald,Turtle,Red-Eared Slider,13
P00022,O01034,Willie,Fish,Betta,12
P00023,O06155,Maria,Turtle,Box Turtle,10
P00024,O01561,Mark,Hamster,Dwarf Hamster,6
P00025,O03845,Anthony,Bird,Cockatiel,8
P00026,O04934,Tamara,Cat,Persian,14
P00027,O06493,Cheryl,Guinea Pig,Peruvian,8
P00028,O05681,Daniel,Hamster,Dwarf Hamster,14
P00029,O00102,Sarah,Cat,Bengal,9
P00030,O00955,Emily,Turtle,Painted Turtle,10
P00031,O00619,Carl,Cat,Persian,3
P00032,O05095,Ryan,Bird,Finch,3
P00033,O06075,Christian,Guinea Pig,Silkie,2
P00034,O02247,Brian,Dog,Beagle,4
P00035,O01603,Jonathan,Dog,Bulldog,13
P00036,O05958,Samantha,Turtle,Red-Eared Slider,6
P00037,O04918,Tanya,Fish,Betta,12
P00038,O03284,Caleb,Hamster,Roborovski,13
