PrescriptionID,PetID,VetID,Diagnosis,Dosage,DateIssued,MedicationID
PR20000,P08482,V1006,Allergic Dermatitis,3 times a day for 9 days,2025-01-05,M10000
PR20001,P03770,V1006,Parasitic Infestation,2 times a day for 14 days,2024-01-26,M10002
PR20002,P07712,V1027,Mild Infection,1 times a day for 12 days,2024-08-14,M10004
PR20003,P04069,V1035,Severe Gingivitis,2 times a day for 12 days,2024-01-24,M10004
PR20004,P02548,V1019,Severe Infection,1 times a day for 7 days,2024-10-12,M10002
PR20005,P04520,V1039,Nutritional Deficiency,1 times a day for 3 days,2024-12-26,M10000
PR20006,P00906,V1037,Fungal Infection,3 times a day for 4 days,2025-01-24,M10004
PR20007,P00880,V1001,Allergic Dermatitis,2 times a day for 6 days,2024-03-23,M10000
PR20008,P03327,V1002,Nutritional Deficiency,2 times a day for 9 days,2024-01-25,M10000
PR20009,P09961,V1031,Fungal Infection,1 times a day for 13 days,2024-09-05,M10004
PR20010,P01539,V1024,Severe Infection,1 times a day for 3 days,2024-12-07,M10002
PR20011,P04817,V1041,Allergic Dermatitis,2 times a day for 10 days,2024-11-19,M10000
PR20012,P01381,V1025,Nutritional Deficiency,3 times a day for 3 days,2024-05-11,M10000
PR20013,P05822,V1006,Fungal Infection,1 times a day for 13 days,2025-02-24,M10004
PR20014,P07952,V1034,Dental Abscess,2 times a day for 9 days,2024-07-05,M10004
PR20015,P05196,V1043,Tooth Decay,3 times a day for 11 days,2024-03-23,M10014
PR20016,P05379,V1031,Mild Infection,3 times a day for 11 days,2024-11-04,M10004
PR20017,P05909,V1001,Allergic Dermatitis,1 times a day for 13 days,2024-02-22,M10000
PR20018,P06916,V1003,Severe Infection,1 times a day for 9 days,2024-11-26,M10002
PR20019,P02760,V1045,Allergic Dermatitis,2 times a day for 3 days,2025-02-01,M10000
PR20020,P09081,V1031,Nutritional Deficiency,1 times a day for 3 days,2024-10-14,M10000
PR20021,P03466,V1026,Mild Infection,1 times a day for 14 days,2024-10-25,M10004
PR20022,P01206,V1009,Internal Injury,1 times a day for 13 days,2024-06-27,M10000
PR20023,P08797,V1014,Allergic Dermatitis,2 times a day for 8 days,2024-05-04,M10000
PR20024,P05210,V1008,Internal Injury,1 times a day for 5 days,2024-09-27,M10002
PR20025,P01419,V1021,Allergic Dermatitis,1 times a day for 4 days,2024-10-12,M10000
PR20026,P05693,V1004,Tooth Decay,1 times a day for 3 days,2024-08-29,M10046
PR20027,P04316,V1021,Mild Infection,2 times a day for 4 days,2024-11-16,M10004
PR20028,P04559,V1029,Internal Injury,1 times a day for 11 days,2025-01-08,M10026
PR20029,P05046,V1036,Mild Infection,3 times a day for 9 days,2024-10-06,M10004
PR20030,P09350,V1035,Tooth Decay,3 times a day for 11 days,2024-08-09,M10053
PR20031,P08892,V1019,Fracture,3 times a day for 12 days,2024-09-12,M10000
PR20032,P03083,V1021,Nutritional Deficiency,3 times a day for 13 days,2024-01-17,M10000
PR20033,P04363,V1044,Internal Injury,1 times a day for 4 days,2025-02-25,M10053
PR20034,P06781,V1016,Severe Infection,3 times a day for 12 days,2024-01-04,M10002
PR20035,P08923,V1009,Internal Injury,3 times a day for 6 days,2024-05-16,M10000
PR20036,P02074,V1048,Fracture,2 times a day for 11 days,2024-03-18,M10070
PR20037,P09067,V1002,Mild Infection,2 times a day for 3 days,2025-02-05,M10004
PR20038,P04365,V1001,Nutritional Deficiency,1 times a day for 11 days,2024-08-05,M10000
PR20039,P06719,V1029,Mild Infection,2 times a day for 13 days,2024-06-13,M10004
PR20040,P06672,V1017,Parasitic Infestation,1 times a day for 4 days,2025-01-28,M10002
PR20041,P03684,V1040,Nutritional Deficiency,1 times a day for 4 days,2024-11-11,M10000
PR20042,P03894,V1045,Parasitic Infestation,3 times a day for 8 days,2024-07-17,M10002
PR20043,P07565,V1020,Nutritional Deficiency,2 times a day for 3 days,2024-12-27,M10000
PR20044,P02202,V1040,Severe Infection,2 times a day for 13 days,2024-12-31,M10002
PR20045,P05178,V1035,Nutritional Deficiency,2 times a day for 4 days,2024-11-01,M10000
PR20046,P08242,V1012,Mild Infection,3 times a day for 11 days,2024-06-24,M10004
PR20047,P08879,V1040,Internal Injury,1 times a day for 12 days,2024-05-24,M10026
PR20048,P05687,V1003,Internal Injury,2 times a day for 12 days,2024-06-02,M10064
PR20049,P02512,V1029,Internal Injury,2 times a day for 12 days,2025-02-07,M10085
PR20050,P05084,V1004,Tooth Decay,3 times a day for 6 days,2025-02-04,M10032
PR20051,P01456,V1005,Severe Gingivitis,2 times a day for 9 days,2024-06-24,M10004
PR20052,P05164,V1043,Mild Infection,2 times a day for 6 days,2024-07-24,M10004
PR20053,P09333,V1002,Fracture,2 times a day for 14 days,2024-05-03,M10018
PR20054,P09050,V1017,Nutritional Deficiency,3 times a day for 8 days,2024-02-02,M10000
PR20055,P09006,V1048,Internal Injury,2 times a day for 11 days,2024-03-15,M10085
PR20056,P00055,V1049,Severe Infection,3 times a day for 10 days,2024-11-24,M10002
PR20057,P01020,V1047,Tooth Decay,1 times a day for 12 days,2025-01-26,M10015
PR20058,P07065,V1014,Fungal Infection,3 times a day for 8 days,2025-02-20,M10004
PR20059,P08820,V1008,Fracture,3 times a day for 4 days,2024-02-22,M10064
PR20060,P01059,V1048,Internal Injury,3 times a day for 6 days,2024-09-01,M10004
PR20061,P03423,V1025,Severe Infection,2 times a day for 7 days,2024-07-04,M10002
PR20062,P01452,V1022,Allergic Dermatitis,1 times a day for 5 days,2024-11-12,M10000
PR20063,P07369,V1021,Parasitic Infestation,2 times a day for 7 days,2024-06-24,M10002
PR20064,P07182,V1029,Internal Injury,1 times a day for 3 days,2024-02-18,M10058
PR20065,P05948,V1021,Mild Infection,1 times a day for 3 days,2025-01-06,M10004
PR20066,P04010,V1011,Nutritional Deficiency,1 times a day for 11 days,2024-03-17,M10000
PR20067,P03581,V1028,Nutritional Deficiency,3 times a day for 10 days,2024-10-14,M10000
PR20068,P08423,V1005,Dental Abscess,1 times a day for 6 days,2025-01-11,M10015
PR20069,P03092,V1008,Severe Infection,1 times a day for 10 days,2024-09-23,M10002
PR20070,P08191,V1044,Mild Infection,1 times a day for 4 days,2024-06-20,M10004
PR20071,P08846,V1019,Severe Infection,2 times a day for 4 days,2024-05-03,M10002
PR20072,P00599,V1011,Mild Infection,3 times a day for 11 days,2024-05-23,M10004
PR20073,P05656,V1041,Fungal Infection,2 times a day for 8 days,2024-11-30,M10004
PR20074,P07134,V1012,Mild Infection,2 times a day for 11 days,2024-10-16,M10004
PR20075,P09565,V1037,Mild Infection,3 times a day for 5 days,2024-11-03,M10004
PR20076,P04223,V1025,Fracture,3 times a day for 10 days,2025-01-08,M10002
PR20077,P00553,V1039,Mild Infection,3 times a day for 6 days,2025-01-04,M10004
PR20078,P00343,V1023,Nutritional Deficiency,1 times a day for 4 days,2025-01-26,M10000
PR20079,P04878,V1011,Fracture,2 times a day for 4 days,2024-07-23,M10064
PR20080,P00835,V1022,Nutritional Deficiency,1 times a day for 12 days,2024-11-21,M10000
PR20081,P01104,V1023,Allergic Dermatitis,3 times a day for 12 days,2024-10-21,M10000
PR20082,P04513,V1007,Mild Infection,3 times a day for 10 days,2025-02-21,M10004
PR20083,P01391,V1032,Internal Injury,3 times a day for 13 days,2025-02-09,M10015
PR20084,P00505,V1027,Allergic Dermatitis,2 times a day for 14 days,2024-07-26,M10000
PR20085,P03309,V1016,Severe Infection,3 times a day for 6 days,2025-02-11,M10002
PR20086,P07193,V1025,Fracture,1 times a day for 4 days,2024-05-02,M10026
PR20087,P02603,V1044,Severe Infection,1 times a day for 10 days,2024-01-25,M10002
PR20088,P04652,V1023,Mild Infection,1 times a day for 7 days,2024-01-02,M10004
PR20089,P09352,V1043,Severe Gingivitis,2 times a day for 4 days,2024-03-27,M10004
PR20090,P00194,V1034,Nutritional Deficiency,1 times a day for 10 days,2025-02-18,M10000
PR20091,P07956,V1017,Allergic Dermatitis,1 times a day for 6 days,2024-12-21,M10000
PR20092,P01639,V1035,Severe Gingivitis,1 times a day for 14 days,2024-09-14,M10004
PR20093,P01469,V1000,Severe Infection,2 times a day for 10 days,2024-06-09,M10002
PR20094,P00935,V1022,Fungal Infection,2 times a day for 7 days,2024-05-23,M10004
PR20095,P07162,V1022,Parasitic Infestation,3 times a day for 11 days,2024-04-18,M10002
PR20096,P05569,V1024,Fracture,3 times a day for 7 days,2024-12-31,M10067
PR20097,P08041,V1028,Nutritional Deficiency,1 times a day for 13 days,2024-02-29,M10000
PR20098,P09390,V1028,Fracture,3 times a day for 12 days,2024-06-06,M10002
PR20099,P09153,V1030,Fracture,3 times a day for 10 days,2024-04-14,M10038
PR20100,P09884,V1033,Dental Abscess,1 times a day for 3 days,2024-02-16,M10038
PR20101,P08801,V1044,Fracture,2 times a day for 13 days,2025-02-25,M10064
PR20102,P01010,V1008,Fracture,1 times a day for 13 days,2024-05-04,M10082
PR20103,P02829,V1021,Mild Infection,1 times a day for 4 days,2025-02-04,M10004
PR20104,P05133,V1022,Mild Infection,1 times a day for 3 days,2024-11-03,M10004
PR20105,P09305,V1000,Nutritional Deficiency,2 times a day for 8 days,2024-02-22,M10000
PR20106,P04777,V1026,Internal Injury,1 times a day for 6 days,2024-03-06,M10035
PR20107,P04963,V1020,Fracture,1 times a day for 7 days,2024-11-03,M10066
PR20108,P05026,V1044,Nutritional Deficiency,2 times a day for 4 days,2024-01-22,M10000
PR20109,P07220,V1037,Mild Infection,2 times a day for 7 days,2024-05-08,M10004
PR20110,P07544,V1022,Mild Infection,2 times a day for 8 days,2024-04-02,M10004
PR20111,P08680,V1021,Allergic Dermatitis,1 times a day for 11 days,2025-02-13,M10000
PR20112,P00730,V1038,Tooth Decay,2 times a day for 7 days,2025-02-12,M10018
PR20113,P00668,V1027,Mild Infection,1 times a day for 7 days,2024-12-12,M10004
PR20114,P01965,V1018,Nutritional Deficiency,1 times a day for 4 days,2025-02-11,M10000
PR20115,P03730,V1006,Mild Infection,3 times a day for 11 days,2024-04-11,M10004
PR20116,P07911,V1038,Nutritional Deficiency,2 times a day for 5 days,2024-10-08,M10000
PR20117,P02617,V1020,Mild Infection,1 times a day for 6 days,2024-03-17,M10004
PR20118,P00810,V1013,Internal Injury,2 times a day for 9 days,2024-07-19,M10048
PR20119,P08729,V1012,Fracture,2 times a day for 9 days,2025-02-16,M10078
PR20120,P04443,V1003,Internal Injury,3 times a day for 10 days,2024-09-08,M10053
PR20121,P06687,V1023,Parasitic Infestation,2 times a day for 10 days,2024-11-24,M10002
PR20122,P09829,V1017,Parasitic Infestation,1 times a day for 6 days,2024-01-11,M10002
PR20123,P01161,V1006,Mild Infection,2 times a day for 7 days,2024-05-18,M10004
PR20124,P07376,V1012,Nutritional Deficiency,2 times a day for 6 days,2024-03-11,M10000
PR20125,P07529,V1031,Parasitic Infestation,2 times a day for 5 days,2024-02-08,M10002
PR20126,P02914,V1036,Fracture,2 times a day for 13 days,2024-09-30,M10078
PR20127,P04956,V1001,Allergic Dermatitis,3 times a day for 13 days,2024-02-12,M10000
PR20128,P04595,V1017,Parasitic Infestation,3 times a day for 11 days,2024-02-07,M10002
PR20129,P00982,V1046,Fracture,1 times a day for 8 days,2025-02-15,M10032
PR20130,P02324,V1001,Allergic Dermatitis,2 times a day for 4 days,2024-10-17,M10000
PR20131,P08734,V1033,Mild Infection,2 times a day for 10 days,2024-08-19,M10004
PR20132,P06376,V1011,Fracture,1 times a day for 10 days,2024-02-03,M10004
PR20133,P03552,V1026,Mild Infection,1 times a day for 12 days,2024-08-06,M10004
PR20134,P07386,V1020,Nutritional Deficiency,3 times a day for 7 days,2024-09-21,M10000
PR20135,P01169,V1028,Mild Infection,3 times a day for 4 days,2024-03-09,M10004
PR20136,P01696,V1045,Nutritional Deficiency,3 times a day for 4 days,2024-01-29,M10000
PR20137,P08129,V1046,Fracture,3 times a day for 9 days,2024-12-09,M10082
PR20138,P02636,V1026,Nutritional Deficiency,3 times a day for 13 days,2024-04-14,M10000
PR20139,P03458,V1047,Nutritional Deficiency,2 times a day for 13 days,2025-02-02,M10000
PR20140,P08153,V1028,Severe Infection,2 times a day for 4 days,2024-07-03,M10002
PR20141,P01933,V1001,Mild Infection,2 times a day for 7 days,2024-03-19,M10004
PR20142,P05215,V1046,Severe Infection,2 times a day for 9 days,2024-07-19,M10002
PR20143,P01084,V1030,Internal Injury,3 times a day for 4 days,2024-04-30,M10015
PR20144,P00778,V1031,Allergic Dermatitis,1 times a day for 5 days,2024-05-11,M10000
PR20145,P03672,V1011,Internal Injury,3 times a day for 10 days,2024-06-16,M10064
PR20146,P04195,V1039,Parasitic Infestation,1 times a day for 3 days,2024-12-31,M10002
PR20147,P00994,V1036,Severe Infection,2 times a day for 13 days,2024-07-16,M10002
PR20148,P06843,V1028,Mild Infection,3 times a day for 13 days,2024-12-20,M10004
PR20149,P09704,V1038,Dental Abscess,3 times a day for 12 days,2024-07-31,M10004
PR20150,P04423,V1020,Internal Injury,3 times a day for 13 days,2024-11-14,M10053
PR20151,P09796,V1013,Fracture,1 times a day for 14 days,2024-07-05,M10083
PR20152,P01325,V1005,Dental Abscess,1 times a day for 12 days,2024-12-23,M10002
PR20153,P03002,V1013,Fracture,3 times a day for 14 days,2024-03-27,M10058
PR20154,P04568,V1012,Internal Injury,3 times a day for 5 days,2025-02-14,M10058
PR20155,P04349,V1007,Fracture,1 times a day for 13 days,2024-05-12,M10082
PR20156,P04846,V1031,Nutritional Deficiency,1 times a day for 3 days,2024-12-14,M10000
PR20157,P06033,V1007,Nutritional Deficiency,3 times a day for 13 days,2024-10-12,M10000
PR20158,P04271,V1029,Fracture,3 times a day for 4 days,2025-02-20,M10053
PR20159,P00418,V1002,Internal Injury,3 times a day for 4 days,2024-06-14,M10020
PR20160,P08000,V1023,Parasitic Infestation,1 times a day for 11 days,2024-10-20,M10002
PR20161,P06480,V1014,Fungal Infection,2 times a day for 3 days,2024-02-27,M10004
PR20162,P03446,V1037,Parasitic Infestation,3 times a day for 12 days,2024-01-28,M10002
PR20163,P02571,V1027,Fungal Infection,3 times a day for 3 days,2024-02-27,M10004
PR20164,P03742,V1003,Internal Injury,2 times a day for 13 days,2024-06-08,M10038
PR20165,P02331,V1008,Mild Infection,3 times a day for 6 days,2024-08-19,M10004
PR20166,P02802,V1025,Severe Infection,3 times a day for 14 days,2025-02-17,M10002
PR20167,P00117,V1024,Severe Infection,1 times a day for 14 days,2025-01-10,M10002
PR20168,P05553,V1025,Severe Infection,3 times a day for 8 days,2024-05-20,M10002
PR20169,P06476,V1037,Nutritional Deficiency,3 times a day for 9 days,2024-05-19,M10000
PR20170,P05712,V1008,Internal Injury,3 times a day for 12 days,2024-07-06,M10032
PR20171,P09610,V1021,Nutritional Deficiency,3 times a day for 12 days,2024-11-10,M10000
PR20172,P05289,V1042,Mild Infection,1 times a day for 7 days,2024-09-09,M10004
PR20173,P03061,V1004,Dental Abscess,2 times a day for 3 days,2025-02-05,M10078
PR20174,P06682,V1028,Severe Infection,2 times a day for 8 days,2024-05-15,M10002
PR20175,P02547,V1014,Fungal Infection,3 times a day for 9 days,2024-01-31,M10004
PR20176,P09504,V1031,Fungal Infection,2 times a day for 12 days,2024-10-04,M10004
PR20177,P02463,V1017,Fungal Infection,3 times a day for 6 days,2024-11-08,M10004
PR20178,P00371,V1027,Mild Infection,2 times a day for 12 days,2024-03-15,M10004
PR20179,P06698,V1025,Nutritional Deficiency,1 times a day for 9 days,2024-05-05,M10000
PR20180,P09849,V1046,Severe Infection,3 times a day for 10 days,2024-05-19,M10002
PR20181,P02327,V1031,Nutritional Deficiency,3 times a day for 11 days,2025-01-07,M10000
PR20182,P05728,V1020,Fracture,3 times a day for 11 days,2024-11-26,M10066
PR20183,P00044,V1030,Internal Injury,1 times a day for 13 days,2024-06-12,M10048
PR20184,P01047,V1025,Internal Injury,2 times a day for 11 days,2024-04-16,M10083
PR20185,P03848,V1012,Fracture,3 times a day for 11 days,2024-11-12,M10053
PR20186,P06765,V1025,Fracture,3 times a day for 3 days,2024-03-30,M10004
PR20187,P00300,V1042,Tooth Decay,3 times a day for 3 days,2024-08-31,M10002
PR20188,P08733,V1018,Nutritional Deficiency,1 times a day for 5 days,2025-01-14,M10000
PR20189,P03958,V1030,Fracture,1 times a day for 8 days,2025-01-17,M10026
PR20190,P07312,V1012,Nutritional Deficiency,1 times a day for 13 days,2024-10-29,M10000
PR20191,P06047,V1039,Fungal Infection,1 times a day for 6 days,2024-02-05,M10004
PR20192,P04615,V1025,Fracture,2 times a day for 13 days,2024-08-25,M10048
PR20193,P05302,V1036,Mild Infection,1 times a day for 11 days,2024-08-14,M10004
PR20194,P09763,V1048,Severe Infection,1 times a day for 7 days,2024-08-12,M10002
PR20195,P00118,V1015,Fracture,2 times a day for 6 days,2024-07-27,M10067
PR20196,P07989,V1022,Mild Infection,1 times a day for 5 days,2025-01-07,M10004
